,nombreh_id,comentario,p_puntuacion,p_fecha_comen
1149,Hostal Riviera Sucre,"Excellent Amazing place! Great location, but very quiet if you get a room garden side. Freddy is absolutely fabulous and helpful. He drove me to the safe parking up the ride and gave me rides back. Breakfast was great too, with a new juice everyday. Totally recommend this place!",5.0,2021-11-24
1150,Hostal Riviera Sucre,"Excellent We loved this hotel. Freddie is absolutely fabulous. Very friendly and drove me to an secured off site parking. The room was very spacious and clean. The breakfast was Lovely too and the location is perfect. I would highly recommend.
",5.0,2021-11-23
1151,Hostal Riviera Sucre,"Excellent We were only supposed to stay in Otavalo for one night, but a mishap with not getting our rental car forced us to change our plans drastically and we ended up staying here for 4 nights. We were honestly very happy that it happened.
The hostel is very well taken care of. The owner does speak English, the rest of the staff speaks little but they were all very helpful and attentive.
Breakfast each morning was bread/butter/jam, juice, eggs and coffee. The location is great, very close to the town square and the daily markets. The garden area inside was gorgeous. We were even able to have our laundry done. The owner also has a trusted contact for longer drives outside of the city if needed. We utilized this for an afternoon hike and a visit to Cotocachi (which is a must if you are in this area).

Overall, this is a wonderful hostel in Otavalo with friendly staff, a convenient location, and a great atmosphere.See more",5.0,2021-11-02
1152,Hostal Riviera Sucre,"Good Hotel with endless charm and character, people running it are amazing, helpful, kept our luggage until the following night, so we could enjoy Otavalo until we had to catch our late night flight. 
Like most of the historic hotels it gets cold at night and the bathrooms are functioning at varying degrees, but the shower was hot.",4.0,2021-07-04
1153,Hostal Riviera Sucre,Excellent It's a great hotel in a perfect location. The staff could not have been nicer! ,5.0,2021-06-21
1154,Hostal Riviera Sucre,Good Comfortable and quiet facility within a few blocks of the markets. Day staff usually spoke English and could help you with your interests.,4.0,2020-03-06
1155,Hotel Doña Esther,Excellent Great staff and the owners were very friendly and informative. Staff went out of way to assist us. Great breakfast.,5.0,2022-05-22
1156,Hotel Doña Esther,"Excellent Lovely spot, close to the market.The staff was extremely helpful.  Really enjoyed our stay!",5.0,2022-03-06
1157,Hotel Doña Esther,Good Very small hotel but nice location. The only complaint we had was there was a dog that barked almost all night and kept us awake! It’s quite open aired so we heard every noise. ,4.0,2021-12-08
1158,Hotel Doña Esther,Excellent The staff is amazing. The location is excellent. The food was unbelievable and totally delicious.,5.0,2021-11-14
1159,Hotel Doña Esther,Good Lovely historic hotel.   Great location.  Very good restaurant.  Helpful staff. ,4.0,2021-06-02
1160,Hotel Doña Esther,"Good This place is right in the middle of the town, walking distance to the famous Saturday market, close to restaurants, very nice and helpful staff, the room is basic nothing fancy but very clean and there’s hot water, very good breakfast. I highly recommend this place especially for mid budget.",4.0,2021-04-01
1161,Hotel Doña Esther,"Good Property is mostly charming and the staff is fantastic-Lucy, Vladamir and the rest were great.  Property is a little downtrodden however and we felt quite expensive for Ecuador.  Parking costs $4 per day but they charge extra for additional hours.  Cleanliness could be improved but not bad overall.  Food is good especially pizza and breakfast. Location is great right next to the market.  We ended up paying about $50 per night with the parking added in.  Should be no more than $35",4.0,2021-03-13
1162,Hotel Doña Esther,"Excellent Very comfortable stay, no problems,staff very welcoming and informative. Excellent restaurant, so good we ate there two nights,  luggage storage after we checked out. Good location near Parque Bolivar",5.0,2020-03-07
1163,Hotel Doña Esther,"Excellent A lovely colonial-style building with rooms around a courtyard in a central location just a few blocks away from Plaza de los Ponchos. Some rooms face the street, which offer a window with a view of the street, but are noisier than the interior rooms. The in-house restaurant is excellent with a variety of dishes for most any taste including delicious thin-crust pizzas cooked in a wood-fired oven. The breakfast is excellent and includes tasty coffee or a variety of teas. Filtered water awaits you in your room when you arrive, so there is no need to run out to fill your water bottle after a long day. Friendly and helpful staff. Nice clean rooms. This was my fourth stay in four years. I keep going back since it's one of the nicest places to stay in Otavalo (I've also stayed at two other places in Otavalo, but now this is my favorite). See more",5.0,2019-07-23
1164,Hotel Doña Esther,"Excellent Great service, friendly staff. Beautiful surroundings",5.0,2019-04-19
1165,Loma Wasi Village,"Good A wonderful indigenous host farm family makes you feel welcome in their home. Guests have their own separate quarters and bath. The farm is small but busy and productive, with cows, food crops, pigs, chickens, guinea pigs, dogs, cats, fruit trees and veggies. The views from above Cotacachi are phenomenal. Volcan Imbabura is on one side of the farm and Volcan Cotacachi on the other.",4.0,2016-04-10
1166,Loma Wasi Village,"Good This is a great B&B outside Cotacachi in the small town on Tunibamba. Rolando's family was friendly and the food was great. We were served cuy , a national delicacy the first night. If you want to learn and understand more about life in the Sierra, this is the place.",4.0,2016-02-26
1167,Loma Wasi Village,"Excellent Sehr schön gelegen, Panoramaaussicht, sehr liebe Familie, man bekommt einen sehr guten Einblick in das Dorfleben. Preis sehr günstig, man muss zwar jedes Mal drei Dollar fürs Taxi bezahlen, um dort weg zu kommen, aber trotzdem noch günstiger als sonstwo. Man kann mit der Familie essen (gut und günstig) und auch auf dem Hof mithelfen. In der Unterkunft selbst hängen Informationen zu Touren aus, die leider gar nicht von der Unterkunft im Internet beworben werden. Hätten wir von den Touren gewusst, wären wir länger geblieben.",5.0,2018-07-26
1168,Hotel Indio Inn,"Good It's was nice place to stay close to everything you need and the people very friendly!!!!
",4.0,2022-07-20
1169,Hotel Indio Inn,Excellent ,5.0,2022-05-09
1170,Hotel Indio Inn,Excellent ,5.0,2022-04-24
1171,Hotel Indio Inn,Excellent ,5.0,2021-06-13
1172,Hotel Indio Inn,Excellent ,5.0,2019-06-10
1173,Hotel Indio Inn,"Excellent Perfecto, alojamiento sencillo pero limpio y cómodo, y el servicio muy atento. Desayuno excelente bajo demanda.",5.0,2022-05-09
1174,Hotel Indio Inn,Okay ,3.0,2021-05-05
1175,Hotel Indio Inn,Okay Das Hoottel ist zentral gelegen und bietet 3 Blocks entfernt einen gratis Parkplatz an. Zimmereinrichtung älter aber sauber. Der Safe ist eine festgeschraubte Geldkasette und Schlüssel ist nur gegen Kaution zu bekommen. Eine Fernbedienung gibt es nur auf Verlangen. Frühstück ok aber Extras sind kostenpflichtig. Hotel ist ok aber Leistung eher in 40 USD Kategorie ,3.0,2019-06-09
1176,Hotel Indio Inn,Okay ,3.0,2019-03-17
1177,Oro Verde Loja,"Excellent Excellent hotel! Very clean, comfortable , excellent customer service and great location!",5.0,2022-08-15
1178,Oro Verde Loja,"Excellent Todo estuvo bien, un par de cosas para mejorar en la variedad del desayuno y dentro de la habitación que no funcionaba la balanza. Pero tuve una estupenda estadía y con gusto regreso y la recomiendo.
MHinostroza",5.0,2022-07-25
1179,Oro Verde Loja,Excellent Was nice ,5.0,2022-06-03
1180,Oro Verde Loja,"Excellent Great attention. 
Ricardo and staff are on point! ",5.0,2022-05-24
1181,Oro Verde Loja,Okay ,3.0,2022-04-29
1182,Oro Verde Loja,Excellent Great hotel with excellent staff - centrally located ,5.0,2017-11-28
1183,Oro Verde Loja,"Excellent Great hotel with excellent dining, centrally located,  is without a doubt one of the best options to stay. A true jewel where you don't expect it. ",5.0,2017-10-30
1184,Oro Verde Loja,Excellent Hermoso hotel,5.0,2022-08-30
1185,Oro Verde Loja,"Excellent Una grata sorpresa, supero mis expectativas. Muy buena atención del personal del hotel y del restaurante, sin lugar a duda muy recomendable.",5.0,2017-11-24
1186,Oro Verde Loja,Excellent Excelente,5.0,2017-09-16
1187,Grand Victoria Boutique Hotel,"Good Very good hotel, the staff very friendly and the hotel very clean ",4.0,2022-07-19
1188,Grand Victoria Boutique Hotel,"Excellent The place was good, great location and very respectful for COVID times. Overall experience was great",5.0,2021-04-05
1189,Grand Victoria Boutique Hotel,"Excellent The hotel is lovely but rooms are not air conditioned or heated- not even a ceiling fan. No windows to the street only windows that open towards the hallway so no ventilation. The suites do have windows to the street that will allow for ventilation. The staff went above and beyond fulfilling any and all requests. The hotel is classy in appearance and the neighborhood seemed safe. There is a pharmacy at the corner of the street next to a small bakery. I would stay again but only in a suite- the staff made up any short comings the property had. Also, if you don’t speak Spanish things may get a bit difficult but pls don’t be rude to them. See more",5.0,2021-02-18
1190,Grand Victoria Boutique Hotel,Excellent ,5.0,2020-03-12
1191,Grand Victoria Boutique Hotel,"Good Fabulous hotel, just wish everything wasn't closed for Carnival. First receptionist spoke some English and was very helpful. The next day the receptionist spoke no English and couldn't even tell us where there might be an open restaurant. Turns out we found a delicious restaurant right in the hotel!",4.0,2020-02-26
1192,Grand Victoria Boutique Hotel,Excellent The reception was very polite  and told us about what there’s to see and how much it was to get to places  room was clean and very quiet   I would recommend to everyone the city was very safe to go out,5.0,2019-04-29
1193,Grand Victoria Boutique Hotel,Excellent ,5.0,2019-04-29
1194,Grand Victoria Boutique Hotel,Excellent charming hotel - we would definitely stay there again,5.0,2019-02-21
1195,Grand Victoria Boutique Hotel,Excellent ,5.0,2019-02-05
1196,Grand Victoria Boutique Hotel,"Good It was pretty, my room was spacious enough, and the premises were clean except for the first room that I was brought to. There were stains on the end table by the bed and the floor was stained, dirty and had hair on it, as was evidenced when I removed my white socks and they were grimy and had to be thrown away. As a recompense, as I was checking out and pressed the matter, they offered me a free dessert, which made me laugh. BUT, the staff generally was professional and pleasant. The hotel restaurant's food was only so so.",4.0,2019-01-10
1197,Sonesta Hotel Loja,Excellent Gracias x el servicio ,5.0,2022-10-07
1198,Sonesta Hotel Loja,Excellent The hotel itself is very nice and pleasant. The view from the upper rooms is unbeatable and a big plus is the amazing staff and the great food. I had a great stay and wish I was able to stay longer. ,5.0,2022-07-06
1199,Sonesta Hotel Loja,Excellent Awesome service and delicious buffet breakfast. The parking is a lot difficult to access.,5.0,2022-05-24
1200,Sonesta Hotel Loja,Excellent The property was very nice and very close to the center of town where we walked to. Lots of sites to see in the area,5.0,2022-04-18
1201,Sonesta Hotel Loja,"Good Great time in Loja.
Very nice city.",4.0,2022-04-04
1202,Sonesta Hotel Loja,Excellent ,5.0,2021-11-16
1203,Sonesta Hotel Loja,Excellent ,5.0,2021-11-10
1204,Sonesta Hotel Loja,Excellent They have quality rooms and the facilities. The staff is amazing and will go out of their way to help,5.0,2021-08-14
1205,Sonesta Hotel Loja,"Excellent The staff is amazing. The rooms are luxurious and comfortable. Pool, the sauna and the gym are great. Breakfast is varied and delicious. Best hotel I have stayed in Ecuador
 I will definitely return next time I am in Loja",5.0,2021-08-11
1206,Sonesta Hotel Loja,Excellent It was a great experience! ,5.0,2021-07-15
1207,Hotel Podocarpus,Okay Location is good. Breakfast is really poor.,3.0,2022-05-22
1208,Hotel Podocarpus,"Good Nice clean, comfortable room, and excellent value",4.0,2022-02-26
1209,Hotel Podocarpus,Okay To much street noise  at night in front rooms,3.0,2021-11-28
1210,Hotel Podocarpus,"Excellent Great location close to sightseeing, food, shopping with a helpful friendly staff. Comfortable clean rooms with a bath that provides a good hot shower. Well worth the money.",5.0,2021-09-20
1211,Hotel Podocarpus,"Excellent Everything was perfect. The staff were very nice from the beginning to the end of our journey. The room was impeccable and the breakfast was delicious. Without a doubt, I will book a room in Hotel Podocarpus next time I will be in Loja. ",5.0,2020-12-29
1212,Hotel Podocarpus,Excellent Great location service was great people were helpfull.,5.0,2019-04-20
1213,Hotel Podocarpus,Good Good location. Pleasant staff. Near all places of interest,4.0,2019-03-13
1214,Hotel Podocarpus,"Good Good service, good location, personal friendly... I’ll be back",4.0,2018-11-15
1215,Hotel Podocarpus,"Okay The staff was kind enough. The rooms are very dated. They are also very noisy. The bed sleeps like a rack. The bathroom was clumsy and hard to use. The WiFi was almost nonexistent. I had to time it just right just to check my email. We were booked for 5 nights, we left after 2.",3.0,2018-02-09
1216,Hotel Podocarpus,"Okay The good: The hotel is clean and well maintained. It is centrally located within easy walking distance of shopping, dining and tourist sights in Loja. The breakfast was good. The water was hot enough to shower comfortably after a wait to get warm. The wifi was pretty reliable.  The staff was generally friendly and tried to be helpful. Water dispensers were available in the lobby and on our floor. 
The bad: our room was in the front of the hotel and it was loud even by Ecuadorian standards.  The noise culminated with the police using a loudspeaker to intervene in a domestic situation taking place across the street with a bullhorn at 0200. The beds gave new meaning to ""firm"".  It was like sleeping on a board with a blanket on top.  They were very uncomfortable.  The staff speaks very little English and with my limited Spanish, it was difficult at times.  To be fair, they were very patient and nice about my language shortcomings. There was a misunderstanding about the number of people in our party. There were 4 instead of the 2 listed on the reservation.  Someone spoke to the other people in the group about some additional charges but it was apparently straightened out. When I checked out there was no mention of it. I assume that it was because the hotel is new to Expedia. See more",3.0,2017-02-22
1217,Hotel Libertador,Terrible ,1.0,2019-09-09
1218,Hotel Libertador,"Excellent Excellent location; walkable. The receptionists were excellent and very helpful. The bell boy Angel was excellent! He did his best to always speak English to us and to help us with maps, etc. Our room was perfect. We had a buffet breakfast which was wonderful. We would definitely stay there again.",5.0,2019-08-19
1219,Hotel Libertador,Okay ,3.0,2019-08-11
1220,Hotel Libertador,Excellent Great value. We were very pleased with our stay. Would return again and hope to do so very soon.,5.0,2019-01-24
1221,Hotel Libertador,Excellent ,5.0,2016-07-03
1222,Hotel Libertador,Okay ,3.0,2022-01-02
1223,Hotel Libertador,Good ,4.0,2019-10-23
1224,Hotel Libertador,"Excellent El personal que atiende es muy servicial y diligente y la ubicación es muy buena para hacerle turismo.  
Un pequeño detalle: la refrigeradora hace un poco de bulla,  sobre todo en la noche es más notorio. ",5.0,2019-10-01
1225,Hotel Libertador,Good ,4.0,2019-09-14
1226,Hotel Libertador,"Excellent muy buen hotel. habitaciones amplias, pero servicios higienicos necesitan mas ventilacion.
excelente desayuno.",5.0,2019-08-29
1227,Zamorano Real Hotel,Good ,4.0,2019-05-19
1228,Zamorano Real Hotel,"Excellent Central location, helpful staff, good greakfast, comfortable room, bathtub, hot water",5.0,2019-01-31
1229,Zamorano Real Hotel,"Okay The access to the hotel is very narrow road, to go down into the parking is incredibley steep and to come back up worst, Limited parking space. 
We stayed there 3 different times, the first 2 times they had some kind of parties happening there, and was loud.   No sleep till about 2;30 AM
Last time was okay. 

Staff is friendly and helpful",3.0,2019-01-03
1230,Zamorano Real Hotel,"Good The room was comfortable in line with their star rating. Spacious room but the window shades not dark enough to offset the street  lights. The hotel is very close to a church which makes impossible to get a good night sleep because every hour the church bell goes off.  The area is busy during the day but very quiet at night. The breakfasts is well below average.  Also, hotel has no AC",4.0,2018-10-25
1231,Zamorano Real Hotel,"Excellent Zamorano Real is located in central Loja close to everything, and the facilities are beautifully kept. The best part is the staff who were friendly and welcoming, calling taxis for us, and keeping our luaggage safe for a while after check-out. There was a little street noise around 10-11 but all quieted down after that- the beds and pillows are wonderful, and we slept well. Breakfast was good.",5.0,2018-04-10
1232,Zamorano Real Hotel,Good Great hotel only disappointment was the dirty carpet ,4.0,2018-02-23
1233,Zamorano Real Hotel,"Good The hotel is confortable and quite new. The rooms and the service is nice; however we had a problem with the access: the roads were broken due to cable and pipes instalation all around the hotel. We had to walk two blocks pulling our luggage and park our car six blocks away, that was disgusting because we weren't tell in advance. ",4.0,2017-09-15
1234,Zamorano Real Hotel,"Excellent In a country of ""good enough"", this was a pleasant surprise. A clean, modern hotel with helpful staff. The hotel has its own parking which is a bonus (very tight). I would definitely choose this hotel again",5.0,2017-01-04
1235,Zamorano Real Hotel,"Good After a shaky late Sunday night check in because of a language barrier and a misunderstanding the Zamorano Real was Really a wonderful treat! Clean, comfortable, great location, HOT shower, great staff.... super helpful people, nice breakfast.  One small complaint....the room walls are thin....I can hear and smell the people in the next room.  ",4.0,2016-11-08
1236,Zamorano Real Hotel,Okay ,3.0,2016-08-17
1237,Hostería Paraíso,Excellent ,5.0,2022-10-10
1238,Hostería Paraíso,"Good Lots of great things about this place, specially enjoyed the beautiful grounds, the restaurant and the friendly staff. It's also located a walking distance from Vilcanamba's central park ",4.0,2022-10-09
1239,Hostería Paraíso,Good Beautiful setting.,4.0,2022-10-09
1240,Hostería Paraíso,"Excellent We loved the gardens and the pool area. Good breakfast, responsive staff. The hot tub, after horseback riding, was just the ticket. Would definitely recommend this place.",5.0,2022-04-11
1241,Hostería Paraíso,Excellent ,5.0,2022-03-18
1242,Hostería Paraíso,Excellent ,5.0,2022-01-02
1243,Hostería Paraíso,"Good Beautiful pool area. Very nice staff.
Rooms clean but dark",4.0,2021-08-02
1244,Hostería Paraíso,Excellent My spouse and I had an absolutely wonderful stay!  The owners and her staff were so helpful and kind. We look forward to staying there again. ,5.0,2021-07-16
1245,Hostería Paraíso,Excellent ,5.0,2021-07-13
1246,Hostería Paraíso,Excellent ,5.0,2021-07-04
1247,Hotel Samuria,"Good Conveniently located, clean, very secure and safe area.  I highly recommend this hotel if you are traveling to Zamora.",4.0,2021-08-01
1248,Oro Verde Loja,"Excellent Excellent hotel! Very clean, comfortable , excellent customer service and great location!",5.0,2022-08-15
1249,Oro Verde Loja,"Excellent Todo estuvo bien, un par de cosas para mejorar en la variedad del desayuno y dentro de la habitación que no funcionaba la balanza. Pero tuve una estupenda estadía y con gusto regreso y la recomiendo.
MHinostroza",5.0,2022-07-25
1250,Oro Verde Loja,Excellent Was nice ,5.0,2022-06-03
1251,Oro Verde Loja,"Excellent Great attention. 
Ricardo and staff are on point! ",5.0,2022-05-24
1252,Oro Verde Loja,Okay ,3.0,2022-04-29
1253,Oro Verde Loja,Excellent Great hotel with excellent staff - centrally located ,5.0,2017-11-28
1254,Oro Verde Loja,"Excellent Great hotel with excellent dining, centrally located,  is without a doubt one of the best options to stay. A true jewel where you don't expect it. ",5.0,2017-10-30
1255,Oro Verde Loja,Excellent Hermoso hotel,5.0,2022-08-30
1256,Oro Verde Loja,"Excellent Una grata sorpresa, supero mis expectativas. Muy buena atención del personal del hotel y del restaurante, sin lugar a duda muy recomendable.",5.0,2017-11-24
1257,Oro Verde Loja,Excellent Excelente,5.0,2017-09-16
1258,Grand Victoria Boutique Hotel,"Good Very good hotel, the staff very friendly and the hotel very clean ",4.0,2022-07-19
1259,Grand Victoria Boutique Hotel,"Excellent The place was good, great location and very respectful for COVID times. Overall experience was great",5.0,2021-04-05
1260,Grand Victoria Boutique Hotel,"Excellent The hotel is lovely but rooms are not air conditioned or heated- not even a ceiling fan. No windows to the street only windows that open towards the hallway so no ventilation. The suites do have windows to the street that will allow for ventilation. The staff went above and beyond fulfilling any and all requests. The hotel is classy in appearance and the neighborhood seemed safe. There is a pharmacy at the corner of the street next to a small bakery. I would stay again but only in a suite- the staff made up any short comings the property had. Also, if you don’t speak Spanish things may get a bit difficult but pls don’t be rude to them. See more",5.0,2021-02-18
1261,Grand Victoria Boutique Hotel,Excellent ,5.0,2020-03-12
1262,Grand Victoria Boutique Hotel,"Good Fabulous hotel, just wish everything wasn't closed for Carnival. First receptionist spoke some English and was very helpful. The next day the receptionist spoke no English and couldn't even tell us where there might be an open restaurant. Turns out we found a delicious restaurant right in the hotel!",4.0,2020-02-26
1263,Grand Victoria Boutique Hotel,Excellent The reception was very polite  and told us about what there’s to see and how much it was to get to places  room was clean and very quiet   I would recommend to everyone the city was very safe to go out,5.0,2019-04-29
1264,Grand Victoria Boutique Hotel,Excellent ,5.0,2019-04-29
1265,Grand Victoria Boutique Hotel,Excellent charming hotel - we would definitely stay there again,5.0,2019-02-21
1266,Grand Victoria Boutique Hotel,Excellent ,5.0,2019-02-05
1267,Grand Victoria Boutique Hotel,"Good It was pretty, my room was spacious enough, and the premises were clean except for the first room that I was brought to. There were stains on the end table by the bed and the floor was stained, dirty and had hair on it, as was evidenced when I removed my white socks and they were grimy and had to be thrown away. As a recompense, as I was checking out and pressed the matter, they offered me a free dessert, which made me laugh. BUT, the staff generally was professional and pleasant. The hotel restaurant's food was only so so.",4.0,2019-01-10
1268,Sonesta Hotel Loja,Excellent Gracias x el servicio ,5.0,2022-10-07
1269,Sonesta Hotel Loja,Excellent The hotel itself is very nice and pleasant. The view from the upper rooms is unbeatable and a big plus is the amazing staff and the great food. I had a great stay and wish I was able to stay longer. ,5.0,2022-07-06
1270,Sonesta Hotel Loja,Excellent Awesome service and delicious buffet breakfast. The parking is a lot difficult to access.,5.0,2022-05-24
1271,Sonesta Hotel Loja,Excellent The property was very nice and very close to the center of town where we walked to. Lots of sites to see in the area,5.0,2022-04-18
1272,Sonesta Hotel Loja,"Good Great time in Loja.
Very nice city.",4.0,2022-04-04
1273,Sonesta Hotel Loja,Excellent ,5.0,2021-11-16
1274,Sonesta Hotel Loja,Excellent ,5.0,2021-11-10
1275,Sonesta Hotel Loja,Excellent They have quality rooms and the facilities. The staff is amazing and will go out of their way to help,5.0,2021-08-14
1276,Sonesta Hotel Loja,"Excellent The staff is amazing. The rooms are luxurious and comfortable. Pool, the sauna and the gym are great. Breakfast is varied and delicious. Best hotel I have stayed in Ecuador
 I will definitely return next time I am in Loja",5.0,2021-08-11
1277,Sonesta Hotel Loja,Excellent It was a great experience! ,5.0,2021-07-15
1278,Hotel Podocarpus,Okay Location is good. Breakfast is really poor.,3.0,2022-05-22
1279,Hotel Podocarpus,"Good Nice clean, comfortable room, and excellent value",4.0,2022-02-26
1280,Hotel Podocarpus,Okay To much street noise  at night in front rooms,3.0,2021-11-28
1281,Hotel Podocarpus,"Excellent Great location close to sightseeing, food, shopping with a helpful friendly staff. Comfortable clean rooms with a bath that provides a good hot shower. Well worth the money.",5.0,2021-09-20
1282,Hotel Podocarpus,"Excellent Everything was perfect. The staff were very nice from the beginning to the end of our journey. The room was impeccable and the breakfast was delicious. Without a doubt, I will book a room in Hotel Podocarpus next time I will be in Loja. ",5.0,2020-12-29
1283,Hotel Podocarpus,Excellent Great location service was great people were helpfull.,5.0,2019-04-20
1284,Hotel Podocarpus,Good Good location. Pleasant staff. Near all places of interest,4.0,2019-03-13
1285,Hotel Podocarpus,"Good Good service, good location, personal friendly... I’ll be back",4.0,2018-11-15
1286,Hotel Podocarpus,"Okay The staff was kind enough. The rooms are very dated. They are also very noisy. The bed sleeps like a rack. The bathroom was clumsy and hard to use. The WiFi was almost nonexistent. I had to time it just right just to check my email. We were booked for 5 nights, we left after 2.",3.0,2018-02-09
1287,Hotel Podocarpus,"Okay The good: The hotel is clean and well maintained. It is centrally located within easy walking distance of shopping, dining and tourist sights in Loja. The breakfast was good. The water was hot enough to shower comfortably after a wait to get warm. The wifi was pretty reliable.  The staff was generally friendly and tried to be helpful. Water dispensers were available in the lobby and on our floor. 
The bad: our room was in the front of the hotel and it was loud even by Ecuadorian standards.  The noise culminated with the police using a loudspeaker to intervene in a domestic situation taking place across the street with a bullhorn at 0200. The beds gave new meaning to ""firm"".  It was like sleeping on a board with a blanket on top.  They were very uncomfortable.  The staff speaks very little English and with my limited Spanish, it was difficult at times.  To be fair, they were very patient and nice about my language shortcomings. There was a misunderstanding about the number of people in our party. There were 4 instead of the 2 listed on the reservation.  Someone spoke to the other people in the group about some additional charges but it was apparently straightened out. When I checked out there was no mention of it. I assume that it was because the hotel is new to Expedia. See more",3.0,2017-02-22
1288,Hotel Libertador,Terrible ,1.0,2019-09-09
1289,Hotel Libertador,"Excellent Excellent location; walkable. The receptionists were excellent and very helpful. The bell boy Angel was excellent! He did his best to always speak English to us and to help us with maps, etc. Our room was perfect. We had a buffet breakfast which was wonderful. We would definitely stay there again.",5.0,2019-08-19
1290,Hotel Libertador,Okay ,3.0,2019-08-11
1291,Hotel Libertador,Excellent Great value. We were very pleased with our stay. Would return again and hope to do so very soon.,5.0,2019-01-24
1292,Hotel Libertador,Excellent ,5.0,2016-07-03
1293,Hotel Libertador,Okay ,3.0,2022-01-02
1294,Hotel Libertador,Good ,4.0,2019-10-23
1295,Hotel Libertador,"Excellent El personal que atiende es muy servicial y diligente y la ubicación es muy buena para hacerle turismo.  
Un pequeño detalle: la refrigeradora hace un poco de bulla,  sobre todo en la noche es más notorio. ",5.0,2019-10-01
1296,Hotel Libertador,Good ,4.0,2019-09-14
1297,Hotel Libertador,"Excellent muy buen hotel. habitaciones amplias, pero servicios higienicos necesitan mas ventilacion.
excelente desayuno.",5.0,2019-08-29
1298,Zamorano Real Hotel,Good ,4.0,2019-05-19
1299,Zamorano Real Hotel,"Excellent Central location, helpful staff, good greakfast, comfortable room, bathtub, hot water",5.0,2019-01-31
1300,Zamorano Real Hotel,"Okay The access to the hotel is very narrow road, to go down into the parking is incredibley steep and to come back up worst, Limited parking space. 
We stayed there 3 different times, the first 2 times they had some kind of parties happening there, and was loud.   No sleep till about 2;30 AM
Last time was okay. 

Staff is friendly and helpful",3.0,2019-01-03
1301,Zamorano Real Hotel,"Good The room was comfortable in line with their star rating. Spacious room but the window shades not dark enough to offset the street  lights. The hotel is very close to a church which makes impossible to get a good night sleep because every hour the church bell goes off.  The area is busy during the day but very quiet at night. The breakfasts is well below average.  Also, hotel has no AC",4.0,2018-10-25
1302,Zamorano Real Hotel,"Excellent Zamorano Real is located in central Loja close to everything, and the facilities are beautifully kept. The best part is the staff who were friendly and welcoming, calling taxis for us, and keeping our luaggage safe for a while after check-out. There was a little street noise around 10-11 but all quieted down after that- the beds and pillows are wonderful, and we slept well. Breakfast was good.",5.0,2018-04-10
1303,Zamorano Real Hotel,Good Great hotel only disappointment was the dirty carpet ,4.0,2018-02-23
1304,Zamorano Real Hotel,"Good The hotel is confortable and quite new. The rooms and the service is nice; however we had a problem with the access: the roads were broken due to cable and pipes instalation all around the hotel. We had to walk two blocks pulling our luggage and park our car six blocks away, that was disgusting because we weren't tell in advance. ",4.0,2017-09-15
1305,Zamorano Real Hotel,"Excellent In a country of ""good enough"", this was a pleasant surprise. A clean, modern hotel with helpful staff. The hotel has its own parking which is a bonus (very tight). I would definitely choose this hotel again",5.0,2017-01-04
1306,Zamorano Real Hotel,"Good After a shaky late Sunday night check in because of a language barrier and a misunderstanding the Zamorano Real was Really a wonderful treat! Clean, comfortable, great location, HOT shower, great staff.... super helpful people, nice breakfast.  One small complaint....the room walls are thin....I can hear and smell the people in the next room.  ",4.0,2016-11-08
1307,Zamorano Real Hotel,Okay ,3.0,2016-08-17
1308,Hostería Paraíso,Excellent ,5.0,2022-10-10
1309,Hostería Paraíso,"Good Lots of great things about this place, specially enjoyed the beautiful grounds, the restaurant and the friendly staff. It's also located a walking distance from Vilcanamba's central park ",4.0,2022-10-09
1310,Hostería Paraíso,Good Beautiful setting.,4.0,2022-10-09
1311,Hostería Paraíso,"Excellent We loved the gardens and the pool area. Good breakfast, responsive staff. The hot tub, after horseback riding, was just the ticket. Would definitely recommend this place.",5.0,2022-04-11
1312,Hostería Paraíso,Excellent ,5.0,2022-03-18
1313,Hostería Paraíso,Excellent ,5.0,2022-01-02
1314,Hostería Paraíso,"Good Beautiful pool area. Very nice staff.
Rooms clean but dark",4.0,2021-08-02
1315,Hostería Paraíso,Excellent My spouse and I had an absolutely wonderful stay!  The owners and her staff were so helpful and kind. We look forward to staying there again. ,5.0,2021-07-16
1316,Hostería Paraíso,Excellent ,5.0,2021-07-13
1317,Hostería Paraíso,Excellent ,5.0,2021-07-04
1318,Hotel Samuria,"Good Conveniently located, clean, very secure and safe area.  I highly recommend this hotel if you are traveling to Zamora.",4.0,2021-08-01
1319,Hotel La Kapital,Excellent I like all,5.0,2022-03-02
1320,Hotel La Kapital,Excellent ,5.0,2021-10-04
1321,Hotel La Kapital,Terrible ,1.0,2021-09-21
1322,Hotel Novalux,Good My room was very clean and comfortable. The staff were helpful and very nice. The price was reasonable considering there are not a lot of amenities. ,4.0,2022-10-19
1323,Hotel Novalux,Excellent ,5.0,2019-09-21
1324,J&E hotel,Excellent ,5.0,2020-12-29
1325,J&E hotel,Excellent ,5.0,2020-01-16
1326,J&E hotel,Okay Towels were soiled and small.  Hot water was scarce.  Took a long time to come out.,3.0,2019-03-06
1327,J&E hotel,"Terrible Was terrible.. worse experience in a hotel !! Room smells like sewer ,dirty,etc.etc.dont ever go there",1.0,2019-03-05
1328,J&E hotel,Okay Cheap scary coffee and breákfast quiet for sleeping,3.0,2019-01-19
1329,J&E hotel,Excellent Great place!,5.0,2018-07-30
